lemma	change_binary
lane_nn	0
pick_vb	1
savage_nn	1
face_nn	1
stab_nn	0
bit_nn	0
graft_nn	0
heel_nn	0
grain_nn	0
ball_nn	0
edge_nn	0
word_nn	1
chairman_nn	1
pin_vb	1
thump_nn	1
lass_nn	1
include_vb	1
tip_vb	1
fiction_nn	0
tree_nn	1
donkey_nn	0
circle_vb	0
multitude_nn	0
part_nn	0
contemplation_nn	0
rag_nn	0
record_nn	1
relationship_nn	0
player_nn	1
maxim_nn	1
twist_nn	1
quilt_nn	0
stroke_vb	1
ounce_nn	0
chef_nn	1
head_nn	0
afternoon_nn	1
rally_nn	0
prop_nn	0
attack_nn	0
gas_nn	0
bag_nn	1
bar_nn	0
risk_nn	0
plane_nn	1
land_nn	0
