lemma	change_binary
Einreichung	1
aufrechterhalten	1
weitgreifend	1
Dynamik	0
Abgesang	1
vergönnen	1
Titel	1
Pachtzins	1
Armenhaus	1
Mulatte	1
Frechheit	1
Mißklang	1
abbauen	1
vorliegen	1
Ohrwurm	0
Tragfähigkeit	0
Kubikmeter	1
Ackergerät	0
Spielball	0
Seminar	0
abdecken	0
zersetzen	0
Engpaß	0
Fuß	0
Lyzeum	0
voranstellen	0
Tier	0
artikulieren	0
Entscheidung	0
Manschette	0
Rezeption	0
überspannen	0
Mut	0
Gesichtsausdruck	0
vorweisen	0
Eintagsfliege	0
Unentschlossenheit	0
beimischen	0
Ausnahmegesetz	0
Sensation	0
Schmiere	0
ausspannen	0
Truppenteil	0
packen	0
Behandlung	0
Knotenpunkt	0
abgebrüht	0
verbauen	0
Festspiel	0
Naturschönheit	0
