lemma	change_binary
Einreichung	0
aufrechterhalten	0
weitgreifend	0
Dynamik	0
Abgesang	0
vergönnen	0
Titel	0
Pachtzins	0
Armenhaus	1
Mulatte	1
Frechheit	1
Mißklang	1
abbauen	1
vorliegen	0
Ohrwurm	1
Tragfähigkeit	0
Kubikmeter	1
Ackergerät	1
Spielball	1
Seminar	1
abdecken	1
zersetzen	1
Engpaß	1
Fuß	1
Lyzeum	1
voranstellen	1
Tier	1
artikulieren	1
Entscheidung	1
Manschette	1
Rezeption	1
überspannen	1
Mut	1
Gesichtsausdruck	1
vorweisen	1
Eintagsfliege	1
Unentschlossenheit	1
beimischen	1
Ausnahmegesetz	1
Sensation	1
Schmiere	1
ausspannen	1
Truppenteil	1
packen	1
Behandlung	1
Knotenpunkt	1
abgebrüht	1
verbauen	1
Festspiel	1
Naturschönheit	1
