lemma	change_binary
pick_vb	1
savage_nn	1
face_nn	1
lane_nn	1
stab_nn	1
bit_nn	1
graft_nn	1
heel_nn	1
grain_nn	1
ball_nn	1
edge_nn	1
word_nn	1
chairman_nn	1
pin_vb	1
thump_nn	1
tip_vb	1
include_vb	1
lass_nn	1
fiction_nn	1
tree_nn	1
donkey_nn	1
circle_vb	1
multitude_nn	1
part_nn	1
rag_nn	1
record_nn	1
contemplation_nn	1
relationship_nn	1
player_nn	1
maxim_nn	1
twist_nn	1
quilt_nn	1
stroke_vb	1
ounce_nn	1
head_nn	1
chef_nn	1
afternoon_nn	1
rally_nn	1
prop_nn	1
attack_nn	1
gas_nn	1
bag_nn	1
bar_nn	1
risk_nn	1
plane_nn	1
land_nn	1
